province,harvest_year,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean
Kastamonu,2024,12.930577049180329,16.895154098360656,9.620524590163935,670.918,14.33248524590164,11.636565217391306,15.747239130434783,8.095739130434783,166.86599999999999,17.172978260869566
Kayseri,2005,7.239657894736841,13.60982894736842,1.768092105263158,359.606,16.484940789473686,7.7257173913043475,14.072021739130435,2.009913043478261,143.142,18.338934782608696
Kayseri,2006,7.503019736842106,14.280907894736842,1.8335263157894734,327.32800000000003,16.338302631578948,8.762695652173914,15.491260869565217,2.6568043478260868,135.994,19.332217391304347
Kayseri,2007,7.618651315789474,14.452644736842107,1.9574276315789474,272.224,16.774973684210526,8.07204347826087,15.017173913043477,1.8883043478260872,102.08,19.086521739130436
Kayseri,2008,7.337626229508197,14.07544262295082,1.5425245901639346,320.248,17.057193442622953,9.458478260869565,16.422934782608696,3.1247826086956523,94.468,19.555565217391305
Kayseri,2009,7.165539473684211,13.457618421052631,1.9214144736842105,410.59,15.911197368421051,6.69558695652174,12.914173913043479,1.0945652173913043,152.596,18.899478260869564
Kayseri,2010,8.931519736842105,15.14724342105263,3.6055921052631574,454.76,15.868138157894736,8.919652173913045,15.294021739130434,3.0024565217391306,157.43800000000002,19.72395652173913
Kayseri,2011,7.787717105263158,14.131552631578948,2.5985526315789476,470.184,15.842309210526315,6.852695652173913,12.829217391304349,1.5762173913043478,155.236,17.59717391304348
Kayseri,2012,6.283895081967213,12.80511475409836,0.8171081967213115,351.93,16.890196721311476,7.321847826086957,13.506152173913044,1.790891304347826,118.642,19.977391304347826
Kayseri,2013,8.291769736842104,14.521361842105263,3.038717105263158,390.518,16.283223684210526,9.071369565217392,15.386456521739131,3.335782608695652,116.752,19.383130434782608
Kayseri,2014,8.377940789473685,15.29508552631579,2.690171052631579,239.766,16.839059210526315,9.474586956521739,16.376608695652173,3.165586956521739,95.322,19.542413043478263
