province,province_norm,harvest_year,yield_kg_dekar
Bilecik,BILECIK,2012,226.0
Bingöl,BINGOL,2012,94.0
Bitlis,BITLIS,2012,133.0
Bolu,BOLU,2012,239.0
Burdur,BURDUR,2012,244.0
Bursa,BURSA,2012,267.0
Denizli,DENIZLI,2012,374.0
Diyarbakır,DIYARBAKIR,2012,305.0
Düzce,DUZCE,2012,303.0
Edirne,EDIRNE,2012,455.0
Elazığ,ELAZIG,2012,248.0
Erzincan,ERZINCAN,2012,237.0
Erzurum,ERZURUM,2012,160.0
Eskişehir,ESKISEHIR,2012,279.0
Gaziantep,GAZIANTEP,2012,356.0
Giresun,GIRESUN,2012,120.0
Gümüşhane,GUMUSHANE,2012,192.0
Hakkari,HAKKARI,2012,165.0
Hatay,HATAY,2012,370.0
Isparta,ISPARTA,2012,208.0
Iğdır,IGDIR,2012,262.0
Kahramanmaraş,KAHRAMANMARAS,2012,331.0
Karabük,KARABUK,2012,175.0
Karaman,KARAMAN,2012,219.0
Kars,KARS,2012,148.0
Kastamonu,KASTAMONU,2012,163.0
Kayseri,KAYSERI,2012,203.0
Kilis,KILIS,2012,275.0
Kocaeli,KOCAELI,2012,231.0
Konya,KONYA,2012,257.0
Kütahya,KUTAHYA,2012,197.0
Kırklareli,KIRKLARELI,2012,402.0
Kırıkkale,KIRIKKALE,2012,215.0
Kırşehir,KIRSEHIR,2012,224.0
Malatya,MALATYA,2012,154.0
Manisa,MANISA,2012,277.0
Mardin,MARDIN,2012,381.0
Mersin,MERSIN,2012,268.0
Muğla,MUGLA,2012,268.0
Muş,MUS,2012,148.0
Nevşehir,NEVSEHIR,2012,207.0
Niğde,NIGDE,2012,239.0
Ordu,ORDU,2012,125.0
Osmaniye,OSMANIYE,2012,368.0
Sakarya,SAKARYA,2012,254.0
Samsun,SAMSUN,2012,260.0
Siirt,SIIRT,2012,259.0
Sinop,SINOP,2012,231.0
Sivas,SIVAS,2012,207.0
Tekirdağ,TEKIRDAG,2012,489.0
Tokat,TOKAT,2012,250.0
Tunceli,TUNCELI,2012,183.0
Uşak,USAK,2012,210.0
Van,VAN,2012,130.0
Yalova,YALOVA,2012,294.0
Yozgat,YOZGAT,2012,226.0
Zonguldak,ZONGULDAK,2012,181.0
Çanakkale,CANAKKALE,2012,340.0
Çankırı,CANKIRI,2012,221.0
Çorum,CORUM,2012,229.0
İstanbul,ISTANBUL,2012,427.0
