province_norm,harvest_year,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm
ISTANBUL,2023,14.139598684210526,17.530802631578947,11.270072368421053,423.772,13.28095394736842,6.235324021010855,29.797099999999993,2.3266,15.0,0.0,211.0,778,12.288282608695654,15.632108695652171,9.391804347826087,205.544,14.848652173913042,3.2215498635983058,21.4214,4.621999999999999,0.0,0.0,58.0
ISTANBUL,2024,15.198688524590166,18.661875409836068,12.188360655737704,605.206,14.154432786885248,6.701325641492273,31.392400000000002,3.4624000000000006,25.0,0.0,218.0,779,13.689586956521739,17.337304347826088,10.499652173913042,135.718,17.069673913043477,3.527053815683721,23.1146,5.266,0.0,0.0,68.0
IZMIR,2005,14.679881578947368,20.530513157894735,9.458861842105263,610.1120000000001,16.15125657894737,7.86915446951819,36.5535,-1.7696,46.0,32.0,218.0,780,13.787347826086958,19.40245652173913,8.446804347826088,167.4,19.160782608695655,5.190616462647084,28.2045,-0.7080000000000001,3.0,7.0,67.0
IZMIR,2006,13.943769736842105,19.793756578947367,8.765763157894737,591.796,16.065605263157895,8.030393162818628,35.9109,-2.4606000000000003,57.0,38.0,240.0,781,14.14617391304348,19.787347826086954,8.858565217391304,154.182,19.49758695652174,4.870959204696493,31.431600000000007,1.9593,9.0,2.0,76.0
IZMIR,2007,15.238730263157896,21.71953947368421,9.521276315789475,307.19800000000004,16.722322368421054,8.359440706787879,39.817199999999985,-0.9038999999999998,67.0,21.0,262.0,782,15.131434782608695,21.937239130434786,8.916043478260871,85.244,20.42926086956522,4.96070395860615,32.5347,1.9255,11.0,0.0,77.0
IZMIR,2008,14.564845901639345,20.660911475409833,9.174439344262295,529.636,16.45899672131148,8.461701658245183,37.580400000000004,-1.6816,70.0,35.0,245.0,783,14.966978260869567,20.849065217391306,9.514565217391304,115.74799999999999,19.178608695652173,4.291918165340965,31.362000000000005,4.7952,8.0,0.0,72.0
IZMIR,2009,14.686440789473684,20.325671052631577,9.61625,748.932,16.108460526315792,7.555440102667573,35.771199999999986,-1.1877,53.0,24.0,213.0,784,13.54889130434783,18.83343478260869,8.285,191.84,19.414456521739133,4.760275773377512,28.3461,0.7859,1.0,3.0,58.0
IZMIR,2010,15.362223684210527,20.872467105263155,10.337177631578948,768.806,15.808723684210525,7.154802631035616,35.7527,0.6085,51.0,13.0,206.0,785,14.787413043478262,20.570478260869567,9.257,85.69600000000001,20.281217391304352,4.72244177423468,30.414600000000004,1.8611999999999997,6.0,2.0,71.0
IZMIR,2011,14.553664473684211,20.33933552631579,9.437171052631578,671.796,15.828361842105263,7.450848744657445,36.471599999999995,-0.5350999999999999,43.0,24.0,217.0,786,12.786282608695652,18.47684782608696,7.453152173913042,123.71,18.59863043478261,4.787374288542241,26.716200000000004,-0.3213,1.0,6.0,62.0
IZMIR,2012,13.76790819672131,19.807409836065574,8.508039344262295,715.72,16.615081967213115,8.934126658461876,38.3984,-2.5892,53.0,43.0,231.0,787,13.784239130434784,19.269130434782607,8.740391304347828,178.27600000000004,19.558847826086954,4.92338786102622,26.2585,-0.42970000000000025,0.0,5.0,70.0
